state_region,city_tier,employment_type,monthly_income_inr,age,loan_amount_inr,loan_tenure_months,loan_purpose,existing_emis_inr,credit_score,prior_defaults,active_loans,bank_account_age_years,digital_payment_score,residential_status,collateral_type,dependents,delinquency_30dpd_last_12m,debt_to_income_pct,loan_to_income_ratio,defaulted
West,Metro,Salaried,49900,21,352000,12,Personal,25200,715,0,1,4.6,43,Family owned,None,3,0,56.1,0.59,0
East,Tier 3/Rural,Gig/Contract,53400,46,178000,48,Two-wheeler,19200,721,0,1,7.0,64,Family owned,None,0,0,36.6,0.28,0
West,Metro,Salaried,35500,42,161000,36,Personal,5800,785,0,4,6.6,74,Rented,None,1,0,17.5,0.38,0
South,Tier 3/Rural,Self-employed,22600,38,479000,18,Medical,5600,685,0,1,6.2,52,Owned,None,1,0,36.0,1.77,0
East,Metro,Salaried,84000,45,98000,24,Personal,36400,656,0,1,11.3,48,Owned,Gold,1,3,43.8,0.1,0
North,Metro,Salaried,74700,45,155000,12,Home improvement,31400,824,0,4,4.0,59,Company provided,Vehicle,3,0,43.7,0.17,0
North,Metro,Business owner,14100,38,367000,24,Business,1900,616,0,0,3.7,74,Rented,Gold,2,1,23.8,2.17,0
North,Tier 1,Salaried,88100,33,94000,18,Two-wheeler,9600,524,0,1,0.6,64,Family owned,None,3,0,11.5,0.09,0
East,Tier 1,Gig/Contract,37600,32,663000,48,Personal,4300,668,0,2,8.3,100,Rented,None,1,0,14.9,1.47,1
South,Metro,Salaried,46800,40,182000,24,Consumer durable,2800,774,0,0,8.1,65,Family owned,None,3,0,7.5,0.32,0
North,Tier 1,Business owner,78900,50,369000,24,Business,15300,597,1,0,10.7,81,Owned,None,0,2,21.2,0.39,1
West,Tier 1,Salaried,104700,35,368000,36,Education,43800,635,0,1,5.0,41,Rented,Vehicle,1,1,42.8,0.29,0
North,Tier 2,Salaried,73200,51,189000,60,Two-wheeler,27200,772,0,1,5.5,78,Rented,Gold,3,0,37.6,0.22,0
West,Tier 3/Rural,Gig/Contract,48200,40,153000,48,Consumer durable,6900,672,0,2,10.0,59,Owned,Property,1,1,14.9,0.26,0
South,Tier 2,Salaried,19800,40,203000,24,Medical,1900,590,0,1,4.5,67,Owned,Vehicle,2,1,13.7,0.85,0
South,Metro,Salaried,13800,60,332000,18,Medical,2100,716,0,0,6.0,97,Rented,None,1,0,27.9,2.0,0
South,Tier 1,Unemployed,68400,53,110000,36,Business,15200,716,0,1,11.2,60,Family owned,Gold,3,1,22.6,0.13,0
West,Tier 3/Rural,Self-employed,88300,53,96000,48,Medical,21700,704,0,3,8.0,43,Rented,Vehicle,2,1,24.8,0.09,0
South,Metro,Self-employed,27000,28,548000,84,Two-wheeler,5700,594,0,2,4.9,46,Owned,Fixed deposit,3,1,23.4,1.69,1
North,Tier 1,Self-employed,36400,58,130000,24,Business,5800,734,1,4,9.9,70,Company provided,None,2,1,17.3,0.3,0
North,Tier 3/Rural,Gig/Contract,31100,35,263000,36,Two-wheeler,6100,626,0,3,5.6,69,Owned,Gold,2,1,21.8,0.7,0
Northeast,Tier 3/Rural,Business owner,30600,34,183000,18,Business,17300,756,0,1,10.0,68,Owned,None,2,0,59.7,0.5,0
Central,Tier 1,Self-employed,76200,21,189000,12,Consumer durable,44900,816,0,0,7.0,44,Company provided,Vehicle,2,0,60.9,0.21,0
West,Tier 2,Salaried,47600,39,530000,18,Consumer durable,7500,781,0,3,4.4,100,Family owned,Property,2,0,21.6,0.93,0
South,Tier 1,Salaried,37200,25,198000,6,Education,4700,609,1,1,2.9,93,Family owned,Property,0,1,21.1,0.44,0
Northeast,Tier 2,Self-employed,182000,40,166000,24,Business,24100,564,0,1,9.1,69,Family owned,None,2,1,13.6,0.08,0
East,Metro,Gig/Contract,19200,24,175000,24,Consumer durable,8900,791,0,3,9.6,40,Rented,None,1,0,50.0,0.76,0
East,Metro,Salaried,57000,54,151000,36,Consumer durable,17500,652,0,1,12.0,96,Owned,Vehicle,0,1,31.4,0.22,0
South,Tier 2,Salaried,23700,42,135000,36,Home improvement,1200,840,0,2,8.4,87,Owned,Gold,2,0,6.6,0.47,0
South,Tier 1,Salaried,38700,59,151000,12,Personal,11800,836,0,0,5.3,69,Family owned,Property,2,0,33.6,0.33,0
North,Tier 2,Self-employed,45800,26,616000,36,Two-wheeler,19300,594,0,2,6.9,89,Family owned,None,2,2,45.7,1.12,0
Central,Tier 1,Business owner,67100,51,332000,12,Consumer durable,24000,632,0,3,6.2,58,Rented,Vehicle,4,1,39.7,0.41,0
South,Tier 3/Rural,Salaried,36500,21,167000,6,Home improvement,2900,724,0,1,5.2,50,Rented,Gold,1,0,15.2,0.38,0
North,Tier 3/Rural,Self-employed,34500,38,396000,84,Home improvement,8400,751,0,2,2.7,70,Owned,None,4,1,25.6,0.96,0
South,Tier 2,Gig/Contract,36200,30,74000,6,Business,4600,612,0,1,2.9,39,Owned,None,2,1,15.9,0.17,0
West,Tier 2,Business owner,23300,32,511000,18,Two-wheeler,3100,760,0,1,9.3,47,Family owned,Gold,1,0,24.9,1.83,0
North,Tier 1,Salaried,59700,31,485000,36,Two-wheeler,6800,686,0,1,3.6,77,Owned,None,2,0,13.5,0.68,0
Central,Tier 2,Business owner,49300,27,894000,24,Home improvement,900,794,0,1,5.0,71,Rented,Vehicle,1,0,9.0,1.51,0
East,Metro,Self-employed,53600,23,403000,24,Two-wheeler,10700,687,0,1,1.9,42,Family owned,Gold,4,0,22.9,0.63,0
East,Tier 3/Rural,Gig/Contract,40600,32,278000,36,Business,6800,631,0,0,2.1,60,Rented,None,1,0,18.6,0.57,0
South,Tier 3/Rural,Salaried,37900,37,484000,36,Home improvement,7800,633,0,0,3.6,43,Rented,None,0,0,24.0,1.06,0
West,Tier 3/Rural,Self-employed,80500,48,139000,24,Medical,23200,673,0,0,9.1,58,Owned,Fixed deposit,2,0,29.5,0.14,0
West,Tier 3/Rural,Self-employed,74000,39,162000,60,Two-wheeler,28100,833,0,0,9.4,56,Owned,Vehicle,0,0,38.3,0.18,0
West,Tier 3/Rural,Salaried,91900,48,200000,12,Home improvement,2000,740,0,1,6.7,85,Owned,Vehicle,0,0,3.9,0.18,0
North,Tier 1,Salaried,51800,21,509000,24,Personal,3100,513,1,0,3.9,64,Owned,Vehicle,0,2,9.9,0.82,0
South,Tier 3/Rural,Self-employed,88800,32,120000,12,Personal,8100,628,0,1,12.7,63,Owned,Gold,3,0,10.2,0.11,0
North,Tier 2,Self-employed,33600,43,112000,6,Two-wheeler,14400,715,0,2,5.0,60,Owned,Property,0,0,48.1,0.28,0
West,Tier 1,Salaried,37800,39,244000,84,Personal,12500,663,0,0,13.4,36,Owned,Gold,2,1,33.8,0.54,0
South,Tier 2,Salaried,81400,27,333000,36,Consumer durable,16400,652,0,1,7.5,65,Owned,None,2,0,21.2,0.34,0
North,Tier 1,Salaried,67100,45,132000,12,Consumer durable,12800,656,0,1,10.3,76,Company provided,None,3,1,20.6,0.16,0
North,Tier 1,Business owner,36000,31,323000,24,Personal,700,737,0,2,10.3,71,Owned,None,3,0,5.5,0.75,0
West,Tier 1,Unemployed,23700,28,509000,12,Medical,7200,569,0,2,1.6,79,Rented,Vehicle,3,1,47.4,1.79,0
North,Metro,Salaried,37700,41,456000,36,Education,6900,522,1,0,2.9,80,Family owned,None,1,3,21.5,1.01,0
Central,Tier 2,Salaried,28900,36,263000,18,Business,1700,815,0,1,4.8,100,Owned,Vehicle,2,0,10.7,0.76,0
West,Tier 3/Rural,Salaried,108900,31,197000,60,Medical,13600,665,0,1,3.6,47,Rented,Fixed deposit,3,1,12.8,0.15,0
South,Tier 2,Self-employed,64100,30,646000,12,Business,3100,620,0,0,7.7,71,Family owned,None,0,1,12.8,0.84,0
West,Tier 2,Business owner,27700,25,211000,18,Personal,7900,684,1,1,8.1,73,Rented,None,0,1,32.5,0.63,0
North,Tier 1,Self-employed,23700,32,385000,60,Personal,3200,728,0,0,4.5,61,Owned,Gold,3,0,16.1,1.35,0
Northeast,Tier 1,Salaried,27500,47,746000,60,Education,6500,669,0,0,4.2,56,Family owned,None,0,1,27.9,2.26,0
West,Metro,Salaried,31000,38,360000,18,Consumer durable,11300,806,0,0,9.9,76,Rented,Vehicle,1,0,42.6,0.97,0
East,Tier 3/Rural,Salaried,38500,46,109000,24,Business,2900,676,0,0,4.2,74,Rented,None,1,1,8.7,0.24,0
North,Metro,Business owner,77900,41,93000,60,Two-wheeler,1800,733,0,0,10.9,48,Owned,None,0,0,2.5,0.1,0
West,Tier 2,Self-employed,24800,30,172000,36,Personal,700,635,0,2,6.8,35,Owned,Gold,4,0,4.7,0.58,0
West,Tier 2,Self-employed,148600,21,331000,36,Consumer durable,31300,665,0,0,6.8,58,Family owned,None,0,0,21.7,0.19,0
Central,Tier 2,Salaried,25100,27,279000,36,Two-wheeler,10200,822,0,0,3.2,55,Owned,None,1,1,43.6,0.93,0
West,Tier 3/Rural,Business owner,19400,29,877000,60,Business,5000,664,0,1,8.7,78,Owned,None,1,0,32.9,3.77,0
South,Tier 1,Salaried,106800,29,277000,24,Business,11800,715,0,1,2.8,50,Rented,None,2,0,12.1,0.22,0
South,Tier 3/Rural,Business owner,87300,46,169000,12,Personal,14000,884,0,1,8.7,64,Family owned,Property,2,0,17.6,0.16,0
South,Tier 2,Business owner,38200,46,100000,24,Personal,1100,573,1,0,8.1,36,Owned,None,2,4,3.9,0.22,0
West,Tier 3/Rural,Self-employed,52000,58,450000,36,Two-wheeler,5400,722,0,2,8.2,39,Owned,None,2,1,12.7,0.72,0
South,Tier 2,Business owner,52800,28,208000,24,Two-wheeler,24100,668,0,1,8.1,53,Rented,None,2,0,47.2,0.33,0
North,Tier 3/Rural,Salaried,45500,52,79000,18,Business,7300,681,0,0,9.9,62,Rented,None,0,0,17.0,0.14,0
East,Tier 3/Rural,Self-employed,20700,52,212000,36,Medical,5100,705,0,2,7.6,52,Rented,None,1,0,27.3,0.85,0
Central,Tier 1,Salaried,12000,34,109000,24,Personal,6700,760,0,1,1.6,70,Family owned,Vehicle,3,0,59.4,0.76,0
North,Tier 3/Rural,Self-employed,26500,41,158000,84,Education,2100,823,0,2,7.2,36,Owned,None,3,0,8.6,0.5,0
West,Tier 2,Salaried,114600,48,210000,18,Personal,30700,744,0,2,3.4,63,Rented,Gold,0,0,27.8,0.15,0
North,Tier 1,Salaried,117100,35,116000,36,Personal,18800,667,0,1,2.3,63,Rented,None,3,0,16.3,0.08,0
West,Tier 3/Rural,Salaried,36500,35,152000,24,Home improvement,4100,675,0,2,3.1,41,Rented,None,3,1,12.9,0.35,0
South,Tier 1,Salaried,24900,30,129000,6,Home improvement,2200,749,0,1,4.0,71,Rented,None,3,0,17.0,0.43,0
West,Tier 2,Self-employed,49200,21,131000,24,Home improvement,13900,778,0,5,8.3,28,Family owned,Vehicle,3,0,29.3,0.22,0
East,Metro,Salaried,53700,37,109000,6,Personal,1200,716,0,1,5.0,55,Owned,Property,4,0,5.4,0.17,0
East,Tier 1,Salaried,58700,29,153000,48,Business,2200,658,0,2,9.8,81,Family owned,None,0,0,4.3,0.22,0
North,Tier 3/Rural,Unemployed,12000,25,117000,36,Education,800,751,0,0,3.8,27,Owned,Fixed deposit,1,0,9.2,0.81,0
Central,Tier 1,Business owner,239600,40,306000,6,Consumer durable,66600,722,0,0,5.1,79,Rented,None,4,0,29.8,0.11,0
North,Tier 1,Salaried,78700,21,238000,24,Business,9400,753,0,0,3.9,46,Rented,Gold,2,0,13.1,0.25,0
North,Tier 1,Salaried,37800,44,454000,84,Consumer durable,3200,656,0,1,1.3,56,Rented,Gold,2,1,9.8,1.0,0
West,Tier 2,Self-employed,28400,41,712000,18,Personal,10200,689,0,0,6.0,92,Owned,None,1,0,49.1,2.09,0
South,Tier 3/Rural,Gig/Contract,72600,32,325000,60,Education,2400,740,0,1,20.4,56,Company provided,None,1,0,4.0,0.37,1
East,Tier 3/Rural,Salaried,55400,35,280000,12,Home improvement,25100,601,0,1,2.4,96,Family owned,None,4,1,49.3,0.42,0
East,Metro,Gig/Contract,44400,24,338000,6,Two-wheeler,8300,613,0,1,8.8,62,Family owned,Gold,1,1,30.7,0.63,0
South,Tier 2,Salaried,54300,44,283000,24,Business,7000,813,0,3,9.9,65,Family owned,None,2,1,15.0,0.43,0
Northeast,Tier 1,Salaried,39700,38,216000,12,Education,1200,829,0,0,6.2,82,Owned,Property,1,0,7.3,0.45,0
South,Tier 2,Gig/Contract,52600,39,205000,48,Consumer durable,8800,730,0,3,2.6,77,Rented,None,4,0,17.5,0.32,0
West,Tier 1,Self-employed,62900,41,108000,36,Personal,3300,673,0,4,17.1,70,Owned,Property,1,0,5.7,0.14,0
South,Tier 1,Business owner,51000,30,361000,36,Consumer durable,18000,745,0,0,8.0,59,Family owned,None,3,0,37.2,0.59,0
Central,Tier 1,Salaried,49500,21,205000,36,Two-wheeler,12000,747,0,2,13.4,39,Owned,Gold,1,0,25.3,0.35,0
North,Tier 2,Salaried,90800,46,536000,36,Education,42300,677,0,0,1.8,40,Owned,None,4,0,48.1,0.49,0
North,Tier 2,Salaried,17500,43,379000,36,Education,1200,594,1,1,4.1,91,Rented,None,1,1,12.6,1.8,0
South,Tier 1,Salaried,27200,31,139000,36,Two-wheeler,1300,589,0,2,2.4,98,Owned,None,3,1,6.1,0.43,0
Northeast,Tier 3/Rural,Salaried,42800,40,470000,48,Consumer durable,2100,598,0,1,10.5,69,Family owned,Gold,2,0,7.1,0.92,0
Central,Tier 2,Self-employed,28200,49,40000,24,Consumer durable,18400,581,1,2,1.8,35,Owned,None,0,2,65.8,0.12,1
East,Tier 1,Self-employed,33900,47,733000,18,Consumer durable,6800,765,0,0,5.4,53,Rented,Gold,1,0,31.5,1.8,0
Central,Tier 3/Rural,Self-employed,85700,30,88000,24,Consumer durable,18500,772,0,1,5.1,52,Family owned,Fixed deposit,2,0,22.0,0.09,0
Central,Tier 3/Rural,Salaried,38900,21,288000,24,Business,6100,740,0,1,1.5,57,Rented,None,2,1,18.6,0.62,0
West,Metro,Salaried,15400,23,276000,18,Education,5800,766,0,0,8.4,51,Owned,None,1,0,47.1,1.49,0
South,Tier 2,Self-employed,33400,33,434000,24,Medical,2600,853,0,0,7.5,76,Owned,None,1,0,12.9,1.08,0
East,Tier 1,Salaried,43600,51,169000,24,Personal,7800,798,0,2,3.9,71,Owned,None,3,0,19.4,0.32,0
West,Tier 2,Business owner,43100,29,52000,12,Medical,9300,746,0,1,13.3,95,Owned,None,2,0,22.5,0.1,0
South,Tier 1,Salaried,57300,30,169000,48,Education,19400,747,0,3,1.7,60,Rented,Vehicle,2,0,34.4,0.25,0
North,Tier 2,Self-employed,54800,30,181000,36,Business,17100,604,1,2,1.1,71,Rented,None,2,1,32.1,0.28,0
East,Tier 1,Business owner,39100,31,55000,18,Two-wheeler,19700,627,0,1,6.4,80,Owned,None,1,0,51.1,0.12,0
South,Tier 2,Self-employed,21900,36,215000,60,Two-wheeler,1700,818,0,0,3.1,85,Owned,Gold,1,0,9.3,0.82,0
Central,Tier 3/Rural,Self-employed,33100,23,104000,60,Personal,4600,649,1,2,5.6,45,Family owned,None,0,1,14.4,0.26,0
South,Tier 1,Self-employed,30000,47,319000,48,Education,11500,629,0,1,11.3,74,Owned,Gold,4,0,40.4,0.89,0
North,Tier 3/Rural,Salaried,36100,35,178000,6,Two-wheeler,7200,851,0,1,2.3,70,Owned,Property,1,0,27.8,0.41,0
East,Tier 3/Rural,Self-employed,61700,61,748000,24,Personal,17200,668,0,2,10.6,72,Rented,None,2,1,32.7,1.01,0
North,Tier 3/Rural,Business owner,52700,24,177000,24,Personal,12400,673,0,1,2.4,68,Owned,None,1,1,24.9,0.28,0
North,Metro,Unemployed,66400,52,276000,36,Business,14200,673,0,1,4.4,98,Family owned,Vehicle,1,0,22.5,0.35,0
West,Tier 3/Rural,Salaried,34200,50,182000,36,Two-wheeler,8000,617,1,1,11.9,51,Owned,Gold,2,1,24.8,0.44,0
Central,Metro,Salaried,96700,32,73000,36,Medical,2100,900,0,1,8.5,50,Rented,Vehicle,2,0,2.4,0.06,0
North,Tier 1,Gig/Contract,61100,32,183000,36,Personal,19500,690,0,0,3.3,52,Rented,Vehicle,3,0,32.7,0.25,0
South,Tier 3/Rural,Self-employed,44900,27,341000,60,Business,20200,676,0,1,7.1,62,Family owned,None,0,1,46.2,0.63,0
East,Tier 2,Salaried,58800,27,309000,24,Personal,12300,655,0,0,4.2,72,Rented,None,3,2,23.0,0.44,0
Northeast,Tier 2,Salaried,29100,36,173000,60,Education,8500,643,0,0,4.6,59,Family owned,Gold,4,1,30.2,0.5,0
West,Tier 1,Salaried,13200,36,81000,48,Business,200,638,1,4,5.1,85,Rented,Gold,4,2,2.7,0.51,0
North,Tier 3/Rural,Salaried,30200,21,318000,18,Business,14400,568,1,1,7.8,67,Rented,Gold,0,1,53.2,0.88,0
North,Tier 2,Salaried,63600,59,274000,48,Education,16000,738,0,2,6.1,65,Family owned,None,2,1,26.0,0.36,0
North,Tier 1,Salaried,44100,33,362000,12,Education,3500,675,0,1,5.2,43,Rented,Vehicle,4,0,14.4,0.68,0
North,Tier 3/Rural,Salaried,39100,37,175000,12,Personal,2400,698,0,1,5.3,100,Rented,None,2,0,9.7,0.37,0
